
1100,23/11/08 18:23:21,Clock In
1100,23/11/08 18:28:30,Clock In
1100,23/11/08 18:28:49,Clock Out
1100,23/11/08 18:33:00,Clock In
1100,23/11/08 18:33:22,Clock Out
1100,23/11/08 18:41:05,Clock In
1100,23/11/08 18:43:48,Clock In
1100,23/11/08 18:44:42,Clock In
1100,23/11/08 18:46:01,Clock In
1100,23/11/08 18:46:26,Clock Out
1100,23/11/08 18:59:13,Clock In
1100,23/11/08 19:07:42,Clock In
1100,23/11/08 19:08:47,Clock In
1100,23/11/08 19:11:39,Clock In
unknown,23/11/08 19:12:43,Clock Out
1100,23/11/08 19:14:46,Clock In
